25.568204773731086-25.57724195767758 no sign [0.00549756 0.00451232 0.00088734] with sign [0.59917666 0.36157298 1.87355302]
25.57724195767758-25.58621632581529 no sign [0.00529642 0.00449571 0.00087918] with sign [0.60997065 0.35256495 1.87178651]
25.58621632581529-25.59512845895981 no sign [0.00510977 0.00447064 0.00087371] with sign [0.62037683 0.34359861 1.87003362]
25.59512845895981-25.603978931229197 no sign [0.00493626 0.00443854 0.00087053] with sign [0.63042285 0.33468943 1.86828938]
25.603978931229197-25.61276831013644 no sign [0.00477472 0.00440065 0.00086925] with sign [0.64013383 0.32585023 1.86654959]
25.61276831013644-25.62149715668044 no sign [0.00462412 0.00435799 0.0008696 ] with sign [0.64953267 0.31709159 1.86481074]
25.62149715668044-25.63016602543554 no sign [0.00448354 0.00431144 0.0008713 ] with sign [0.65864033 0.30842217 1.86306984]
25.63016602543554-25.638775464639586 no sign [0.00435217 0.00426174 0.00087416] with sign [0.66747604 0.29984899 1.86132438]
25.638775464639586-25.647326016280637 no sign [0.00422928 0.00420952 0.00087798] with sign [0.67605748 0.29137773 1.85957224]
25.647326016280637-25.65581821618225 no sign [0.00411422 0.00415534 0.00088263] with sign [0.68440098 0.28301287 1.85781163]
25.65581821618225-25.664252594087426 no sign [0.00400642 0.00409963 0.00088798] with sign [0.69252162 0.27475791 1.85604102]
25.664252594087426-25.672629673741227 no sign [0.00390535 0.0040428  0.00089392] with sign [0.70043339 0.26661548 1.85425911]
25.672629673741227-25.680949972972098 no sign [0.00381055 0.00398517 0.00090038] with sign [0.70814929 0.25858751 1.85246481]
25.680949972972098-25.689214003771866 no sign [0.00372159 0.00392704 0.00090728] with sign [0.71568143 0.2506753  1.85065715]
25.689214003771866-25.69742227237453 no sign [0.00363808 0.00386863 0.00091456] with sign [0.7230411  0.24287963 1.84883531]
25.69742227237453-25.705575279333786 no sign [0.00355968 0.00381016 0.00092218] with sign [0.73023886 0.23520083 1.84699858]
25.705575279333786-25.71367351959932 no sign [0.00348608 0.00375181 0.0009301 ] with sign [0.73728462 0.22763886 1.84514629]
25.71367351959932-25.721717482591952 no sign [0.00341698 0.0036937  0.0009383 ] with sign [0.74418767 0.22019335 1.84327789]
